group	tag	smolt.year	date.M	length.M	date.R	length.R	time.MR	growth	growth.rate
fall	3D9.1BF0DEB507	2002	8/21/2001	89	5/5/2002	115	257	26	0.101167315
fall	3D9.1BF0DEB52C	2002	8/25/2001	77	5/28/2002	114	276	37	0.134057971
fall	3D9.1BF0DEB535	2002	8/21/2001	76	5/4/2002	115	256	39	0.15234375
fall	3D9.1BF0DEB53B	2002	8/16/2001	63	5/4/2002	100	261	37	0.141762452
fall	3D9.1BF0DEB550	2002	8/16/2001	72	5/5/2002	110	262	38	0.145038168
fall	3D9.1BF0DEB696	2002	8/21/2001	79	5/15/2002	119	267	40	0.149812734
fall	3D9.1BF0DEB6BD	2002	8/21/2001	75	5/4/2002	112	256	37	0.14453125
fall	3D9.1BF0DEB6E9	2002	8/17/2001	61	5/6/2002	104	262	43	0.164122137
fall	3D9.1BF0DEB7A7	2002	8/21/2001	75	5/8/2002	107	260	32	0.123076923
fall	3D9.1BF0DEB7BD	2002	8/21/2001	73	5/5/2002	108	257	35	0.13618677
fall	3D9.1BF0DEB8DD	2002	8/21/2001	72	5/17/2002	113	269	41	0.152416357
fall	3D9.1BF0DEB9F9	2002	8/21/2001	73	4/30/2002	104	252	31	0.123015873
fall	3D9.1BF0DEBA43	2002	8/21/2001	68	5/13/2002	116	265	48	0.181132075
fall	3D9.1BF0DEBAC5	2002	8/21/2001	77	5/6/2002	110	258	33	0.127906977
fall	3D9.1BF0DEBB03	2002	8/21/2001	67	5/2/2002	113	254	46	0.181102362
fall	3D9.1BF0DEBF89	2002	8/17/2001	62	5/8/2002	97	264	35	0.132575758
fall	3D9.1BF0DEC02C	2002	8/21/2001	84	5/17/2002	120	269	36	0.133828996
fall	3D9.1BF0DEC35E	2002	8/21/2001	80	5/6/2002	112	258	32	0.124031008
fall	3D9.1BF0DEC624	2002	8/24/2001	71	4/30/2002	105	249	34	0.136546185
fall	3D9.1BF0DEC701	2002	8/21/2001	79	6/6/2002	117	289	38	0.131487889
fall	3D9.1BF0DEC722	2002	8/24/2001	77	5/4/2002	110	253	33	0.130434783
fall	3D9.1BF0DEC918	2002	8/17/2001	66	5/26/2002	116	282	50	0.177304965
fall	3D9.1BF0DEC930	2002	8/17/2001	72	6/4/2002	98	291	26	0.089347079
fall	3D9.1BF0DECA0C	2002	8/21/2001	68	5/6/2002	104	258	36	0.139534884
